,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Volver a pedir,Verificacion katy,ID de inventario,Marca,Nombre,Descripción ,Tamaño,"Cantidad 
en existencias",Costo de compra ,Taxes ,Precio de importación ,Valor total x unidad,Valor general de mercadería disponible,Precio venta Perú x unidad dolares,Precio de venta peru x unidad en soles,Precio del mercado,,Ganancias x unidad,Ganancia del total de unidades
C,,IN0039,Patrick-ta,Plumping gloss,Color full syringe REGALO,9ml,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$22.86 ,S/ 80.00,,,$21.26 ,$21.26 
C,K,IN0040,Patrick-ta,Lip shine brillant,Color pink shes an influencer REGALO,7ml,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$42.86 ,S/ 150.00,,,$41.26 ,$41.26 
C,K,,Patrick-ta,Tilk kylip creme,Shes secure REGALO,7ml,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$17.14 ,S/ 60.00,,,$15.54 ,$15.54 
C,K,,Patrick-ta,Matte suede lipstick,Seductive REGALO,4gr,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$21.43 ,S/ 75.00,,,$19.83 ,$19.83 
C,K,IN0041,Patrick-ta,Double take creme y powder blush,Color shes baked,5g,1,$30.00 ,$2.65 ,$1.60 ,$34.25 ,$34.25 ,$48.57 ,S/ 170.00,,,$14.32 ,$14.32 
C,K,,Patrick-ta,Double take creme y powder blush,Color shes seductive,5g,2,$30.00 ,$1.60 ,$1.60 ,$33.20 ,$66.40 ,$48.57 ,S/ 170.00,,,$15.37 ,$30.74 
C,K,IN0042,Patrick-ta,Double take creme y powder blush,Color she goes to the gym,5g,3,$30.40 ,$0.00 ,$1.60 ,$32.00 ,$96.00 ,$48.57 ,S/ 170.00,,,$16.57 ,$49.71 
C,K,IN0043,Patrick-ta,Double take creme y powder blush,Color she nows who she is,5g,1,$30.40 ,$0.00 ,$1.60 ,$32.00 ,$32.00 ,$48.57 ,S/ 170.00,,,$16.57 ,$16.57 
C,K,IN0044,Patrick-ta,Double take creme y powder blush,Color oh she's different,5g,1,$30.40 ,$0.00 ,$1.60 ,$32.00 ,$32.00 ,$48.57 ,S/ 170.00,,,$16.57 ,$16.57 
C,K,IN0045,Patrick-ta,Double take creme y powder blush,Color She's that girl,5g,1,$30.40 ,$0.00 ,$1.60 ,$32.00 ,$32.00 ,$48.57 ,S/ 170.00,,,$16.57 ,$16.57 
C,K,IN0046,Patrick-ta,Double take creme y powder blush,Color she's a doll,5g,3,$30.40 ,$0.00 ,$1.60 ,$32.00 ,$96.00 ,$48.57 ,S/ 170.00,,,$16.57 ,$49.71 
C,,IN0047,Patrick-ta,Makeup bag,Color beige,,1,$20.00 ,$2.65 ,$1.60 ,$24.25 ,$24.25 ,$34.29 ,S/ 120.00,,,$10.04 ,$10.04 
C,K,IN0048,Patrick-ta,Creme contour y powder bronzer duo,Color shes bronzed warm medium,9g,1,$33.60 ,$2.65 ,$1.60 ,$37.85 ,$37.85 ,$57.14 ,S/ 200.00,,,$19.29 ,$19.29 
